filename,extension,detected_type,file_size_kb,width,height,has_exif,has_gps,latitude,longitude,camera_make,camera_model,datetime_original,page_count,sha256_hash
06ea728a46c3a0a6fe3cffbc2925a536.pdf,.pdf,pdf,317.62,,,False,False,,,,,,1,8972779b3c5f1469...
06eba7e043a4255355deae70707b6bbf.jpg,.jpg,jpg,50.61,544,692,False,False,,,,,,,786745d2c306e9a2...
07655863dd87cd4688904d2720398f08.png,.png,png,735.76,512,691,False,False,,,,,,,b128e92780e92918...
0767fe0297aa02049a97934eb4a3f316.pdf,.pdf,pdf,348.01,,,False,False,,,,,,1,4e04765611b0bda8...
07a2a73b510bb53bd5957076f13692a4.jpg,.jpg,png,1840.39,1170,1275,False,False,,,,,,,4d16c819ecece84c...
07becf7d6deb6a7342d9f1e4bfa02cc8.pdf,.pdf,pdf,118.92,,,False,False,,,,,,1,8c78a74e509a5b76...
07c73b3c1a9570633c1a7eb52c433600.pdf,.pdf,pdf,224.94,,,False,False,,,,,,1,4ae78a3913886563...
07d7d9056242c8fc24dd8ad3835cd583.jpg,.jpg,jpg,42.22,547,686,False,False,,,,,,,1607d80f7c08ad13...
07dee5752ea5735bc69f51ab0ff7fa5d.pdf,.pdf,pdf,278.03,,,False,False,,,,,,1,5ede2c8169c2fc3e...
080254104f9f1087ec69335ba0912b42.pdf,.pdf,pdf,292.72,,,False,False,,,,,,1,fa89032e49e2ca1d...
08035ef172e8f16d2303cabb339a1350.pdf,.pdf,pdf,263.2,,,False,False,,,,,,1,86cfee7be2886fb0...
08112c33badda66e12cdfb6f95ec49c7.pdf,.pdf,pdf,1251.94,,,False,False,,,,,,1,cffbed74288ef7b8...
0812503ba0f6a9cdf8959ffdd7766d07.jpg,.jpg,jpg,896.78,2745,1721,False,False,,,,,,,4cc6394fcb736d2d...
0814b8f75d3d8403156248e7404eb2ef.png,.png,png,156.45,222,541,False,False,,,,,,,1ca55fa676b34bd0...
0816feb1a1dd91968c33b83e93e8ba04.pdf,.pdf,pdf,302.63,,,False,False,,,,,,1,4b8f76f8817ea9b9...
081ac151ce23d3e6ff683b6c3097e686.pdf,.pdf,pdf,834.71,,,False,False,,,,,,1,6bd320652022e55a...
0831d54ab0b103eb44052d95bd1fa783.pdf,.pdf,pdf,241.38,,,False,False,,,,,,1,983b453c4b5a2fb0...
08692efee4132f592fcf153878730884.jpg,.jpg,jpg,19.98,452,692,False,False,,,,,,,727860bbd9ead6a8...
08716746334cdd5ac5fb6b14d083edda.jpg,.jpg,jpg,20.13,547,686,False,False,,,,,,,95791be08e92adcc...
0872ece31b276acb39a3d89ee15abf23.pdf,.pdf,pdf,264.96,,,False,False,,,,,,1,048a4f4fbfca1ff9...
0882697fb38cc942a9df415aa48a09ed.pdf,.pdf,pdf,131.59,,,False,False,,,,,,1,946f5bfd0bd79d79...
089b696e7461e79805b7dcf6fa2c6995.jpg,.jpg,jpg,24.15,615,685,False,False,,,,,,,63847fbb7b800c7e...
08a97860c7baf9d6e02f4d95824a337b.pdf,.pdf,pdf,137.92,,,False,False,,,,,,1,2fd4bc548b136831...
08acb3efd9eed844febd838e99897808.jpg,.jpg,jpg,18.97,575,692,False,False,,,,,,,6a962da8b82fa32b...
08e384e72fecf99688632a6d507f5c8a.pdf,.pdf,pdf,344.55,,,False,False,,,,,,1,41f3e5f9f314c7c3...
08e4685a5ef9a54a9a48157b5960516c.pdf,.pdf,pdf,359.1,,,False,False,,,,,,1,d13ae4e4b691e9ea...
091113b270f1985ffd28ff5806e71402.pdf,.pdf,pdf,343.86,,,False,False,,,,,,1,dce6b2a39e073b3d...
